full_name,abbreviation,city,state,year_founded
Atlanta Hawks,ATL,Atlanta,Atlanta,1949
Boston Celtics,BOS,Boston,Massachusetts,1946
Cleveland Cavaliers,CLE,Cleveland,Ohio,1970
New Orleans Pelicans,NOP,New Orleans,Louisiana,2002
Chicago Bulls,CHI,Chicago,Illinois,1966
Dallas Mavericks,DAL,Dallas,Texas,1980
Denver Nuggets,DEN,Denver,Colorado,1976
Golden State Warriors,GSW,Golden State,California,1946
Houston Rockets,HOU,Houston,Texas,1967
Los Angeles Clippers,LAC,Los Angeles,California,1970
Los Angeles Lakers,LAL,Los Angeles,California,1948
Miami Heat,MIA,Miami,Florida,1988
Milwaukee Bucks,MIL,Milwaukee,Wisconsin,1968
Minnesota Timberwolves,MIN,Minnesota,Minnesota,1989
Brooklyn Nets,BKN,Brooklyn,New York,1976
New York Knicks,NYK,New York,New York,1946
Orlando Magic,ORL,Orlando,Florida,1989
Indiana Pacers,IND,Indiana,Indiana,1976
Philadelphia 76ers,PHI,Philadelphia,Pennsylvania,1949
Phoenix Suns,PHX,Phoenix,Arizona,1968
Portland Trail Blazers,POR,Portland,Oregon,1970
Sacramento Kings,SAC,Sacramento,California,1948
San Antonio Spurs,SAS,San Antonio,Texas,1976
Oklahoma City Thunder,OKC,Oklahoma City,Oklahoma,1967
Toronto Raptors,TOR,Toronto,Ontario,1995
Utah Jazz,UTA,Utah,Utah,1974
Memphis Grizzlies,MEM,Memphis,Tennessee,1995
Washington Wizards,WAS,Washington,District of Columbia,1961
Detroit Pistons,DET,Detroit,Michigan,1948
Charlotte Hornets,CHA,Charlotte,North Carolina,1988
