Player,teamAbbreviation,GP,MPG,PTS,REB,AST,STL,BLK,TO,FG%,3P%,FT%
Wesley_Matthews,ATL,36,11.5,3.1,1.5,0.6,0.4,0.3,0.2,0.9,2.7,35.1
Patty_Mills,ATL,19,10.6,2.7,1.1,0.7,0.5,0.1,0.4,1,2.7,37.3
Clint_Capela,ATL,73,25.8,11.5,10.6,1.2,0.6,1.5,1,4.8,8.5,57.1
Bogdan_Bogdanovic,ATL,79,30.4,16.9,3.4,3.1,1.2,0.3,1.4,6,13.9,42.8
Dejounte_Murray,ATL,78,35.7,22.5,5.3,6.4,1.4,0.3,2.6,8.6,18.8,45.9
Trae_Young,ATL,54,36,25.7,2.8,10.8,1.3,0.2,4.4,8,18.7,43
De'Andre_Hunter,ATL,57,29.5,15.6,3.9,1.5,0.7,0.3,1.5,5.3,11.6,45.9
Dylan_Windler,ATL,6,12.2,4.7,2,0.5,0.3,0,0.3,1.7,3.2,52.6
Bruno_Fernando,ATL,45,15.2,6.3,4.3,1,0.6,0.6,1,2.4,4.2,58.3
Garrison_Mathews,ATL,66,15,4.9,1.4,0.6,0.3,0.1,0.3,1.6,3.4,45.6
Saddiq_Bey,ATL,63,32.7,13.7,6.5,1.5,0.8,0.2,0.9,4.6,11.1,41.6
Onyeka_Okongwu,ATL,55,25.5,10.2,6.8,1.3,0.5,1.1,0.8,4.1,6.6,61.1
Trent_Forrest,ATL,38,10.9,2.2,1.3,2.4,0.3,0.1,0.5,0.9,2.4,37.8
Vit_Krejci,ATL,22,24.6,6.1,2.4,2.3,0.6,0.3,0.9,2.3,4.7,49
Jalen_Johnson,ATL,56,33.7,16,8.7,3.6,1.2,0.8,1.8,6.4,12.5,51.1
AJ_Griffin,ATL,20,8.6,2.4,0.9,0.3,0.1,0.1,0.4,0.9,3.1,29
Kobe_Bufkin,ATL,17,11.5,4.8,1.9,1.6,0.4,0.3,0.6,2,5.4,37
Mouhamed_Gueye,ATL,6,12.2,4,3.7,0.7,0.8,0.7,0.2,1.3,3.8,34.8
Seth_Lundy,ATL,9,5.8,1.6,0.8,0,0,0,0.1,0.4,1.9,23.5	
Jrue_Holiday,BOS,69,32.8,12.5,5.4,4.8,0.9,0.8,1.8,48,42.9,83.3
Al_Horford,BOS,65,26.8,8.6,6.4,2.6,0.6,1,0.7,51.1,41.9,86.7
Kristaps_Porzingis,BOS,57,29.6,20.1,7.2,2,0.7,1.9,1.6,51.6,37.5,85.8
Jaylen_Brown,BOS,70,33.5,23,5.5,3.6,1.2,0.5,2.4,49.9,35.4,70.3
Jayson_Tatum,BOS,74,35.7,26.9,8.1,4.9,1,0.6,2.5,47.1,37.6,83.3
Derrick_White,BOS,73,32.6,15.2,4.2,5.2,1,1.2,1.5,46.1,39.6,90.1
Luke_Kornet,BOS,63,15.6,5.3,4.1,1.1,0.4,1,0.3,70,0,90.7
Svi_Mykhailiuk,BOS,41,10.1,4,1.2,0.9,0.3,0,0.3,41.6,38.9,66.7
Oshae_Brissett,BOS,55,11.5,3.7,2.9,0.8,0.3,0.1,0.4,44.4,27.3,60.2
Payton_Pritchard,BOS,82,22.3,9.6,3.2,3.4,0.5,0.1,0.7,46.8,38.5,82.1
Xavier_Tillman_Sr.,BOS,20,13.7,4,2.7,1,0.5,0.5,0.3,51.5,28.6,57.1
Lamar_Stevens,BOS,19,6.4,2.8,1.6,0.4,0.3,0.3,0.5,46.7,37.5,72.7
Dalano_Banton,BOS,24,7.1,2.3,1.5,0.8,0.2,0.1,0.4,37.3,12.5,80
Neemias_Queta,BOS,28,11.9,5.5,4.4,0.7,0.5,0.8,0.5,64.4,,71.4
Jaden_Springer,BOS,17,7.6,2.1,1.2,0.5,0.6,0.2,0.5,43.3,18.2,87.5
Sam_Hauser,BOS,79,22,9,3.5,1,0.5,0.3,0.4,44.6,42.4,89.5
JD_Davison,BOS,8,4.9,2,1.3,1.3,0.1,0.1,0.3,41.7,42.9,75
Jordan_Walsh,BOS,9,9.2,1.7,2.2,0.6,0.6,0.1,0.3,40,22.2,50
Drew_Peterson,BOS,3,7.7,3.7,0.3,0.3,0.7,0,0.3,66.7,60,0	
Dennis_Schroder,BKN,29,32,14.6,3.5,6,0.6,0.3,2.4,42.4,41.2,79.7
Spencer_Dinwiddie,BKN,48,30.7,12.6,3.3,6,0.8,0.2,1.3,39.1,32,78.1
Ben_Simmons,BKN,15,23.9,6.1,7.9,5.7,0.8,0.6,1.8,58.1,0,40
Dorian_Finney-Smith,BKN,68,28.4,8.5,4.7,1.6,0.8,0.6,0.9,42.1,34.8,71.7
Dennis_Smith_Jr.,BKN,56,18.9,6.6,2.9,3.6,1.2,0.2,1.2,43.5,29.4,74.1
Harry_Giles_III,BKN,16,5.1,3.4,1.6,0.4,0.1,0.2,0.4,50,27.3,53.8
